author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/157210344/,Москва,rent_long,flat,40000.0,,block,19.0,17,"Медведково, Бабушкинская, Свиблово",2017-05-10,2105.2631578947367,"['Медведково', 'Бабушкинская', 'Свиблово']",5,2017-05,2017,2
realtor_based,https://www.cian.ru/rent/flat/319735815/,Москва,rent_long,flat,40000.0,,unknown,18.0,5,"Текстильщики, Текстильщики, Новохохловская",2025-07-14,2222.222222222222,"['Текстильщики', 'Текстильщики', 'Новохохловская']",7,2025-07,2025,0
realtor_based,https://www.cian.ru/rent/flat/319403639/,Москва,rent_long,flat,40000.0,,unknown,19.6,14,"Бунинская аллея, Щербинка, Бутово",2025-07-03,2040.816326530612,"['Бунинская аллея', 'Щербинка', 'Бутово']",7,2025-07,2025,3
realtor_not_commerce,https://www.cian.ru/rent/flat/319703641/,Москва,rent_long,flat,40000.0,,unknown,13.0,12,"Солнцево, Новопеределкино, Саларьево",2025-07-13,3076.923076923077,"['Солнцево', 'Новопеределкино', 'Саларьево']",7,2025-07,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319100005/,Москва,rent_long,flat,40000.0,,unknown,21.0,9,"Марьино, Курьяново, Перерва",2025-06-25,1904.7619047619048,"['Марьино', 'Курьяново', 'Перерва']",6,2025-06,2025,2
realtor_not_commerce,https://www.cian.ru/rent/flat/318917539/,Москва,rent_long,flat,40000.0,2006.0,panel,19.0,17,"Улица Академика Янгеля, Красный Строитель, Аннино",2025-06-20,2105.2631578947367,"['Улица Академика Янгеля', 'Красный Строитель', 'Аннино']",6,2025-06,2025,4
realtor_not_commerce,https://www.cian.ru/rent/flat/319624345/,Москва,rent_long,flat,40000.0,2007.0,unknown,16.0,17,Ольховая,2025-07-10,2500.0,['Ольховая'],7,2025-07,2025,3
realtor_not_commerce,https://www.cian.ru/rent/flat/296348232/,Москва,rent_long,flat,40000.0,1977.0,panel,19.0,9,"Ясенево, Новоясеневская, Битцевский парк",2023-12-14,2105.2631578947367,"['Ясенево', 'Новоясеневская', 'Битцевский парк']",12,2023-12,2023,3
realtor_not_commerce,https://www.cian.ru/rent/flat/317964963/,Москва,rent_long,flat,41000.0,,unknown,12.0,14,"Молжаниново, Новоподрезково, Химки",2025-05-25,3416.6666666666665,"['Молжаниново', 'Новоподрезково', 'Химки']",5,2025-05,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319195172/,Москва,rent_long,flat,41500.0,,unknown,21.0,12,"Кузьминки, Волжская, Текстильщики",2025-06-27,1976.1904761904761,"['Кузьминки', 'Волжская', 'Текстильщики']",6,2025-06,2025,4
realtor_based,https://www.cian.ru/rent/flat/319785071/,Москва,rent_long,flat,42000.0,,unknown,20.0,16,"Щёлковская, Первомайская",2025-07-15,2100.0,"['Щёлковская', 'Первомайская']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319759953/,Москва,rent_long,flat,42000.0,,unknown,30.0,9,"Медведково, Свиблово, Бабушкинская",2025-07-15,1400.0,"['Медведково', 'Свиблово', 'Бабушкинская']",7,2025-07,2025,1
realtor_not_commerce,https://www.cian.ru/rent/flat/319235419/,Москва,rent_long,flat,42000.0,,unknown,19.0,15,"Улица Скобелевская, Бутово, Бульвар Адмирала Ушакова",2025-06-30,2210.5263157894738,"['Улица Скобелевская', 'Бутово', 'Бульвар Адмирала Ушакова']",6,2025-06,2025,0
realtor_not_commerce,https://www.cian.ru/rent/flat/319702960/,Москва,rent_long,flat,43000.0,2022.0,monolith,30.0,15,"Бунинская аллея, Щербинка, Силикатная",2025-07-13,1433.3333333333333,"['Бунинская аллея', 'Щербинка', 'Силикатная']",7,2025-07,2025,6
realtor_based,https://www.cian.ru/rent/flat/319749851/,Москва,rent_long,flat,45000.0,,unknown,19.0,9,"Планерная, Сходненская, Трикотажная",2025-07-14,2368.4210526315787,"['Планерная', 'Сходненская', 'Трикотажная']",7,2025-07,2025,0
realtor_based,https://www.cian.ru/rent/flat/319785500/,Москва,rent_long,flat,45000.0,,unknown,30.0,5,"Коптево, Лихоборы, Красный Балтиец",2025-07-15,1500.0,"['Коптево', 'Лихоборы', 'Красный Балтиец']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/312378606/,Москва,rent_long,flat,45000.0,1976.0,panel,20.0,16,"Орехово, Домодедовская, Шипиловская",2025-01-15,2250.0,"['Орехово', 'Домодедовская', 'Шипиловская']",1,2025-01,2025,2
realtor_based,https://www.cian.ru/rent/flat/319781861/,Москва,rent_long,flat,45000.0,,unknown,30.0,9,"Улица Горчакова, Бульвар Адмирала Ушакова, Бунинская аллея",2025-07-15,1500.0,"['Улица Горчакова', 'Бульвар Адмирала Ушакова', 'Бунинская аллея']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319601144/,Москва,rent_long,flat,45000.0,,unknown,23.0,5,"Молодёжная, Рабочий посёлок, Сетунь",2025-07-09,1956.5217391304348,"['Молодёжная', 'Рабочий посёлок', 'Сетунь']",7,2025-07,2025,2
realtor_based,https://www.cian.ru/rent/flat/319781414/,Москва,rent_long,flat,45000.0,,unknown,30.0,5,"Народное Ополчение, Октябрьское поле",2025-07-15,1500.0,"['Народное Ополчение', 'Октябрьское поле']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319781057/,Москва,rent_long,flat,45000.0,,unknown,30.0,17,"Некрасовка, Лухмановская, Улица Дмитриевского",2025-07-15,1500.0,"['Некрасовка', 'Лухмановская', 'Улица Дмитриевского']",7,2025-07,2025,1
realtor_based,https://www.cian.ru/rent/flat/319725610/,Москва,rent_long,flat,45000.0,,unknown,25.0,9,"Сетунь, Рабочий посёлок, Молодёжная",2025-07-14,1800.0,"['Сетунь', 'Рабочий посёлок', 'Молодёжная']",7,2025-07,2025,0
